price,RM,DIS
20.6,6.059,481.22
34.7,7.185,496.71
23.9,6.619,540.07
14.1,6.525,243.58
31.0,7.327,207.88
8.3,5.896,190.96
33.3,7.287,730.9
16.2,5.705,394.5
22.0,5.878,649.8
19.7,5.39,279.86
29.8,6.98,253.29
8.1,5.093,182.26
12.7,5.713,423.3
13.1,6.38,138.61
16.5,5.631,608.21
14.4,5.019,143.94
12.0,5.304,210.07
16.1,6.297,236.82
19.4,5.709,162.32
48.8,8.398,228.85
50.0,7.875,564.84
10.5,4.652,146.72
14.9,6.341,207.2
44.0,7.454,633.61
22.4,5.807,365.26
13.8,6.13,141.91
19.0,5.985,481.22
18.4,6.219,200.48
14.3,6.436,231.58
13.3,6.794,135.8
14.9,6.728,249.61
26.7,6.951,286.17
22.7,6.127,272.27
20.3,5.972,310.25
50.0,7.929,204.59
12.1,6.404,163.9
22.0,6.59,549.17
10.8,5.854,189.56
21.8,5.707,238.17
18.2,5.663,1058.57
23.2,6.209,731.72
18.7,5.968,481.22
24.7,5.966,384.73
18.5,5.708,472.11
21.2,6.312,399.17
15.2,6.655,235.52
26.6,6.939,879.21
25.0,6.211,366.59
22.1,6.122,264.03
20.0,6.081,271.75
23.0,6.312,541.59
17.2,5.617,145.47
50.0,7.923,588.5
22.3,6.402,226.25
19.6,6.326,227.1
19.2,6.458,211.85
19.9,6.167,303.34
16.0,5.966,681.85
22.9,6.012,556.05
28.2,6.849,318.27
18.5,5.895,561.5
19.3,5.868,521.46
28.1,6.375,394.54
19.3,5.682,510.04
20.4,5.949,470.75
15.6,5.757,234.6
50.0,4.97,133.25
23.9,6.976,216.75
14.2,6.006,187.46
10.5,5.818,186.62
7.0,5.414,175.54
20.0,5.344,387.5
20.5,6.226,805.55
16.1,6.425,220.04
50.0,8.725,289.44
15.4,6.485,197.84
34.6,7.274,730.9
22.5,5.783,435.49
19.4,5.602,608.77
11.7,6.208,222.22
22.0,5.87,225.77
24.8,6.302,540.07
21.7,5.961,528.73
18.9,5.933,336.03
23.4,6.245,528.73
8.5,5.747,163.34
19.5,5.851,210.69
13.9,6.649,134.49
21.4,6.163,349.52
29.4,6.546,313.23
17.3,5.856,194.44
18.6,6.405,271.47
21.9,4.963,175.23
33.4,7.42,309.92
6.3,5.852,150.04
23.2,6.051,216.78
20.4,6.041,472.11
17.1,5.706,664.07
26.6,6.63,443.77
19.1,5.926,290.84
20.3,5.79,632.0
21.4,6.209,296.34
16.8,6.027,249.82
15.2,5.454,182.09
19.9,5.834,449.86
20.3,6.004,219.74
34.9,7.185,456.67
10.9,6.545,151.92
13.1,6.471,172.57
41.3,6.943,187.73
21.6,6.421,496.71
19.1,6.114,354.59
41.7,8.337,383.84
13.4,6.629,212.47
23.6,6.416,264.63
23.7,6.75,333.17
28.4,6.625,349.52
20.5,6.115,681.47
33.4,6.998,606.22
20.9,5.876,922.03
20.7,5.92,391.75
22.6,5.859,270.19
15.6,5.628,151.66
18.4,6.495,445.47
16.1,4.973,251.94
14.5,6.348,205.27
12.7,5.976,258.06
21.7,6.195,277.78
17.4,5.942,196.69
20.6,6.12,228.75
34.9,7.024,540.11
21.7,6.009,550.27
8.7,6.152,191.42
20.0,5.841,337.79
27.5,6.879,327.21
19.4,6.023,283.4
18.7,6.092,254.8
27.5,6.852,146.55
21.7,5.889,545.09
18.8,5.879,200.63
24.5,6.635,834.4
10.9,6.202,186.29
8.4,6.824,179.4
50.0,7.016,120.24
11.9,4.138,117.81
22.0,6.794,238.89
22.0,6.897,633.61
21.9,6.108,922.03
32.5,6.563,284.7
20.4,5.872,247.75
13.4,6.103,202.18
30.1,6.728,1212.65
19.4,6.229,254.51
17.8,6.151,166.87
15.0,5.757,141.3
20.1,6.23,908.92
18.7,5.741,722.54
28.7,6.642,342.11
36.2,6.144,259.79
16.3,5.155,158.94
20.2,5.456,379.65
13.0,6.417,218.5
16.8,5.803,190.47
14.0,6.174,161.19
10.4,6.968,141.65
23.7,5.412,358.75
16.6,6.03,568.94
8.8,5.957,180.26
24.4,6.538,391.75
19.6,5.965,401.23
14.6,4.926,146.08
24.4,6.064,423.92
17.5,6.014,801.36
39.8,7.765,274.1
17.4,5.594,649.8
23.1,3.863,151.06
14.9,6.301,278.31
22.9,6.442,366.59
29.1,6.604,621.96
12.8,5.627,181.72
13.9,5.599,445.46
33.2,7.267,478.72
14.1,6.833,208.82
15.6,6.152,174.55
25.0,6.762,798.09
30.5,6.739,647.98
21.0,6.674,423.9
31.5,6.552,337.51
30.8,6.595,540.11
22.2,6.358,703.55
29.8,6.556,456.67
29.0,6.726,365.19
27.9,5.608,128.52
35.1,6.812,410.07
20.1,5.983,210.99
28.4,6.616,337.0
16.6,5.813,468.2
13.8,4.906,117.42
22.8,6.065,528.73
20.7,6.31,645.84
27.5,6.727,277.78
24.4,6.326,435.49
23.4,5.998,681.47
25.2,6.24,442.9
23.8,6.567,360.23
46.7,7.686,337.51
43.5,7.47,287.2
5.6,5.987,158.88
14.4,5.399,587.0
23.2,6.02,355.49
24.8,6.871,782.78
20.8,5.362,210.36
16.4,6.701,259.75
21.7,6.395,250.52
15.6,5.468,141.18
22.5,6.345,782.78
22.6,6.112,250.91
7.2,6.343,157.41
22.4,6.593,247.86
50.0,8.704,180.1
12.3,5.52,153.31
29.6,6.153,327.97
31.1,6.8,621.96
12.7,5.887,178.21
19.8,5.782,403.17
5.0,5.683,142.54
50.0,7.802,204.07
5.0,5.453,148.96
50.0,8.034,511.8
23.5,6.29,661.15
23.0,6.373,336.33
24.8,6.565,731.72
11.3,5.536,158.04
24.8,6.438,739.67
19.8,6.474,243.29
22.2,6.456,722.55
26.4,5.604,298.79
24.7,6.383,918.76
